"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ENSMUSG00000005447",0,1.26260703629127,0.726,0.075,0,"cholangiocyte","ENSMUSG00000005447"
"ENSMUSG00000005161",0,1.25847081362655,0.981,0.705,0,"cholangiocyte","ENSMUSG00000005161"
"ENSMUSG00000034868",0,1.25380649732417,0.91,0.574,0,"cholangiocyte","ENSMUSG00000034868"
"ENSMUSG00000022995",0,1.24997910020311,0.703,0.079,0,"cholangiocyte","ENSMUSG00000022995"
"ENSMUSG00000032369",0,1.23350424470252,0.728,0.187,0,"cholangiocyte","ENSMUSG00000032369"
"ENSMUSG00000025780",0,1.23309963681835,0.674,0.066,0,"cholangiocyte","ENSMUSG00000025780"
"ENSMUSG00000020423",0,1.2301378513316,0.914,0.79,0,"cholangiocyte","ENSMUSG00000020423"
"ENSMUSG00000027695",0,1.22500997168645,0.795,0.217,0,"cholangiocyte","ENSMUSG00000027695"
"ENSMUSG00000002265",0,1.22234821069528,0.542,0.042,0,"cholangiocyte","ENSMUSG00000002265"
"ENSMUSG00000068874",0,1.21703317848481,0.787,0.221,0,"cholangiocyte","ENSMUSG00000068874"
"ENSMUSG00000022865",0,1.2113728846249,0.887,0.174,0,"cholangiocyte","ENSMUSG00000022865"
"ENSMUSG00000076432",0,1.21090864575116,0.969,0.668,0,"cholangiocyte","ENSMUSG00000076432"
"ENSMUSG00000046432",0,1.20883770076216,0.784,0.192,0,"cholangiocyte","ENSMUSG00000046432"
"ENSMUSG00000047907",0,1.20152860551128,0.908,0.351,0,"cholangiocyte","ENSMUSG00000047907"
"ENSMUSG00000037541",0,1.20053191929222,0.664,0.032,0,"cholangiocyte","ENSMUSG00000037541"
"ENSMUSG00000005836",0,1.19198426055266,0.731,0.117,0,"cholangiocyte","ENSMUSG00000005836"
"ENSMUSG00000026740",0,1.19048657596266,0.874,0.411,0,"cholangiocyte","ENSMUSG00000026740"
"ENSMUSG00000041773",0,1.18520298838681,0.694,0.158,0,"cholangiocyte","ENSMUSG00000041773"
"ENSMUSG00000033998",0,1.18134121770384,0.655,0.001,0,"cholangiocyte","ENSMUSG00000033998"
"ENSMUSG00000023906",0,1.16385124515034,0.591,0.001,0,"cholangiocyte","ENSMUSG00000023906"
"ENSMUSG00000020458",0,1.1634445374057,0.978,0.735,0,"cholangiocyte","ENSMUSG00000020458"
"ENSMUSG00000058173",0,1.15717455306452,0.854,0.323,0,"cholangiocyte","ENSMUSG00000058173"
"ENSMUSG00000024975",0,1.15650018473597,0.864,0.368,0,"cholangiocyte","ENSMUSG00000024975"
"ENSMUSG00000027536",0,1.15152120840076,0.644,0.025,0,"cholangiocyte","ENSMUSG00000027536"
"ENSMUSG00000054428",0,1.15136458597945,0.989,0.743,0,"cholangiocyte","ENSMUSG00000054428"
"ENSMUSG00000038235",0,1.15092975171986,0.895,0.456,0,"cholangiocyte","ENSMUSG00000038235"
"ENSMUSG00000027562",0,1.15057981879818,0.525,0.083,0,"cholangiocyte","ENSMUSG00000027562"
"ENSMUSG00000023904",0,1.14206843628408,0.857,0.427,0,"cholangiocyte","ENSMUSG00000023904"
"ENSMUSG00000027188",0,1.13469437476182,0.661,0.044,0,"cholangiocyte","ENSMUSG00000027188"
"ENSMUSG00000004951",0,1.12790360972243,0.665,0.172,0,"cholangiocyte","ENSMUSG00000004951"
"ENSMUSG00000063953",0,1.12689794274821,0.612,0.222,0,"cholangiocyte","ENSMUSG00000063953"
"ENSMUSG00000021792",0,1.12453556887555,0.78,0.151,0,"cholangiocyte","ENSMUSG00000021792"
"ENSMUSG00000024253",0,1.1197154679807,0.656,0.028,0,"cholangiocyte","ENSMUSG00000024253"
"ENSMUSG00000001249",0,1.11950680876613,0.859,0.196,0,"cholangiocyte","ENSMUSG00000001249"
"ENSMUSG00000020467",0,1.11483894092016,0.744,0.097,0,"cholangiocyte","ENSMUSG00000020467"
"ENSMUSG00000028356",0,1.10226528300977,0.999,0.551,0,"cholangiocyte","ENSMUSG00000028356"
"ENSMUSG00000039385",0,1.09772398358389,0.5,0.008,0,"cholangiocyte","ENSMUSG00000039385"
"ENSMUSG00000024399",0,1.09209997409397,0.337,0.043,0,"cholangiocyte","ENSMUSG00000024399"
"ENSMUSG00000027792",0,1.08048021867079,0.743,0.116,0,"cholangiocyte","ENSMUSG00000027792"
"ENSMUSG00000041453",0,1.08015264384831,0.999,0.847,0,"cholangiocyte","ENSMUSG00000041453"
"ENSMUSG00000041936",0,1.07942598333428,0.675,0.161,0,"cholangiocyte","ENSMUSG00000041936"
"ENSMUSG00000027356",0,1.07928114023641,0.597,0.001,0,"cholangiocyte","ENSMUSG00000027356"
"ENSMUSG00000022528",0,1.07833287046425,0.758,0.517,0,"cholangiocyte","ENSMUSG00000022528"
"ENSMUSG00000028378",0,1.07762260391251,0.646,0.105,0,"cholangiocyte","ENSMUSG00000028378"
"ENSMUSG00000036617",0,1.07237093539565,0.718,0.147,0,"cholangiocyte","ENSMUSG00000036617"
"ENSMUSG00000061665",0,1.06840750888043,0.916,0.617,0,"cholangiocyte","ENSMUSG00000061665"
"ENSMUSG00000031708",0,1.06523717207441,0.916,0.482,0,"cholangiocyte","ENSMUSG00000031708"
"ENSMUSG00000024048",0,1.06522679185033,0.985,0.81,0,"cholangiocyte","ENSMUSG00000024048"
"ENSMUSG00000023232",0,1.06510448330784,0.612,0.028,0,"cholangiocyte","ENSMUSG00000023232"
"ENSMUSG00000044921",0,1.06188539035069,0.574,0.007,0,"cholangiocyte","ENSMUSG00000044921"
"ENSMUSG00000002980",0,1.05992413268967,0.698,0.171,0,"cholangiocyte","ENSMUSG00000002980"
"ENSMUSG00000028780",0,1.05850383109224,0.503,0.005,0,"cholangiocyte","ENSMUSG00000028780"
"ENSMUSG00000025017",0,1.0582293515992,0.837,0.305,0,"cholangiocyte","ENSMUSG00000025017"
"ENSMUSG00000053560",0,1.05102600027312,0.93,0.747,0,"cholangiocyte","ENSMUSG00000053560"
"ENSMUSG00000032437",0,1.04449433220937,0.836,0.474,0,"cholangiocyte","ENSMUSG00000032437"
"ENSMUSG00000039202",0,1.04421616663355,0.754,0.296,0,"cholangiocyte","ENSMUSG00000039202"
"ENSMUSG00000031996",0,1.04164108943946,0.981,0.731,0,"cholangiocyte","ENSMUSG00000031996"
"ENSMUSG00000027878",0,1.04112043335258,0.795,0.331,0,"cholangiocyte","ENSMUSG00000027878"
"ENSMUSG00000018623",0,1.03980989847999,0.285,0.001,0,"cholangiocyte","ENSMUSG00000018623"
"ENSMUSG00000027615",0,1.03341477113382,0.493,0.237,0,"cholangiocyte","ENSMUSG00000027615"
"ENSMUSG00000009585",0,1.03241881610251,0.767,0.324,0,"cholangiocyte","ENSMUSG00000009585"
"ENSMUSG00000052560",0,1.03237971469449,0.772,0.302,0,"cholangiocyte","ENSMUSG00000052560"
"ENSMUSG00000028964",0,1.03237562453295,0.962,0.646,0,"cholangiocyte","ENSMUSG00000028964"
"ENSMUSG00000052105",0,1.02345008045663,0.563,0.006,0,"cholangiocyte","ENSMUSG00000052105"
"ENSMUSG00000066406",0,1.01846079667521,0.896,0.524,0,"cholangiocyte","ENSMUSG00000066406"
"ENSMUSG00000032006",0,1.01578484912751,0.618,0.045,0,"cholangiocyte","ENSMUSG00000032006"
"ENSMUSG00000003545",0,1.0140953540426,0.85,0.601,0,"cholangiocyte","ENSMUSG00000003545"
"ENSMUSG00000069769",0,1.01254690445899,0.784,0.275,0,"cholangiocyte","ENSMUSG00000069769"
"ENSMUSG00000019734",0,1.00970181861221,0.577,0.032,0,"cholangiocyte","ENSMUSG00000019734"
"ENSMUSG00000025856",0,1.00399745055758,0.648,0.133,0,"cholangiocyte","ENSMUSG00000025856"
"ENSMUSG00000068036",0,1.00379473006426,0.785,0.325,0,"cholangiocyte","ENSMUSG00000068036"
"ENSMUSG00000019505",0,1.0034836044848,0.989,0.828,0,"cholangiocyte","ENSMUSG00000019505"
"ENSMUSG00000021250",0,0.997443517650343,0.922,0.856,0,"cholangiocyte","ENSMUSG00000021250"
"ENSMUSG00000025790",0,0.99714498276158,0.771,0.301,0,"cholangiocyte","ENSMUSG00000025790"
"ENSMUSG00000024386",0,0.996436783978264,0.877,0.205,0,"cholangiocyte","ENSMUSG00000024386"
"ENSMUSG00000039865",0,0.996078614828716,0.593,0.031,0,"cholangiocyte","ENSMUSG00000039865"
"ENSMUSG00000036611",0,0.99035238807184,0.639,0.123,0,"cholangiocyte","ENSMUSG00000036611"
"ENSMUSG00000015932",0,0.985513536010175,0.971,0.756,0,"cholangiocyte","ENSMUSG00000015932"
"ENSMUSG00000027690",0,0.984144458085064,0.771,0.147,0,"cholangiocyte","ENSMUSG00000027690"
"ENSMUSG00000041126",0,0.981666381026681,0.901,0.444,0,"cholangiocyte","ENSMUSG00000041126"
"ENSMUSG00000040663",0,0.980014995133901,0.51,0.027,0,"cholangiocyte","ENSMUSG00000040663"
"ENSMUSG00000021696",0,0.978002043575403,0.57,0.013,0,"cholangiocyte","ENSMUSG00000021696"
"ENSMUSG00000044279",0,0.976986184124272,0.631,0.058,0,"cholangiocyte","ENSMUSG00000044279"
"ENSMUSG00000022231",0,0.976925139762048,0.554,0.021,0,"cholangiocyte","ENSMUSG00000022231"
"ENSMUSG00000063524",0,0.976891405201747,0.865,0.453,0,"cholangiocyte","ENSMUSG00000063524"
"ENSMUSG00000028851",0,0.969409849805862,0.861,0.435,0,"cholangiocyte","ENSMUSG00000028851"
"ENSMUSG00000031565",0,0.969058949755976,0.704,0.184,0,"cholangiocyte","ENSMUSG00000031565"
"ENSMUSG00000025085",0,0.965691073020865,0.637,0.101,0,"cholangiocyte","ENSMUSG00000025085"
"ENSMUSG00000030357",0,0.963109798965407,0.875,0.437,0,"cholangiocyte","ENSMUSG00000030357"
"ENSMUSG00000025255",0,0.958448025064823,0.61,0.079,0,"cholangiocyte","ENSMUSG00000025255"
"ENSMUSG00000031995",0,0.950092540630679,0.585,0.034,0,"cholangiocyte","ENSMUSG00000031995"
"ENSMUSG00000032238",0,0.949068032686966,0.799,0.269,0,"cholangiocyte","ENSMUSG00000032238"
"ENSMUSG00000030067",0,0.948866562272643,0.867,0.48,0,"cholangiocyte","ENSMUSG00000030067"
"ENSMUSG00000026688",0,0.948828002575504,0.707,0.198,0,"cholangiocyte","ENSMUSG00000026688"
"ENSMUSG00000039239",0,0.948630120051815,0.445,0.028,0,"cholangiocyte","ENSMUSG00000039239"
"ENSMUSG00000026385",0,0.944894162940789,1,0.915,0,"cholangiocyte","ENSMUSG00000026385"
"ENSMUSG00000063354",0,0.944453113332375,0.612,0.091,0,"cholangiocyte","ENSMUSG00000063354"
"ENSMUSG00000028128",0,0.943714341991686,0.496,0.029,0,"cholangiocyte","ENSMUSG00000028128"
"ENSMUSG00000052534",0,0.939821554239212,0.742,0.295,0,"cholangiocyte","ENSMUSG00000052534"
"ENSMUSG00000046314",0,0.936044634583133,0.604,0.077,0,"cholangiocyte","ENSMUSG00000046314"
"ENSMUSG00000042842",0,0.935206257691636,0.47,0.09,0,"cholangiocyte","ENSMUSG00000042842"
"ENSMUSG00000029381",0,0.93349465077937,0.595,0.077,0,"cholangiocyte","ENSMUSG00000029381"
"ENSMUSG00000025887",0,0.931582707927889,0.595,0.077,0,"cholangiocyte","ENSMUSG00000025887"
"ENSMUSG00000022270",0,0.931218763425794,0.744,0.221,0,"cholangiocyte","ENSMUSG00000022270"
"ENSMUSG00000028019",0,0.930429631355913,0.625,0.101,0,"cholangiocyte","ENSMUSG00000028019"
"ENSMUSG00000007659",0,0.926348035429039,0.807,0.416,0,"cholangiocyte","ENSMUSG00000007659"
"ENSMUSG00000025381",0,0.925944952473949,0.912,0.551,0,"cholangiocyte","ENSMUSG00000025381"
"ENSMUSG00000117310",0,0.924362762961296,0.938,0.613,0,"cholangiocyte","ENSMUSG00000117310"
"ENSMUSG00000030659",0,0.92309615369996,0.699,0.253,0,"cholangiocyte","ENSMUSG00000030659"
"ENSMUSG00000028843",0,0.922601186171581,0.958,0.669,0,"cholangiocyte","ENSMUSG00000028843"
"ENSMUSG00000031788",0,0.922161767011829,0.52,0.02,0,"cholangiocyte","ENSMUSG00000031788"
"ENSMUSG00000039457",0,0.918910844817022,0.555,0.051,0,"cholangiocyte","ENSMUSG00000039457"
"ENSMUSG00000056124",0,0.918652608373808,0.762,0.262,0,"cholangiocyte","ENSMUSG00000056124"
"ENSMUSG00000046668",0,0.913753997942002,0.642,0.117,0,"cholangiocyte","ENSMUSG00000046668"
"ENSMUSG00000025035",0,0.911952689199314,0.715,0.234,0,"cholangiocyte","ENSMUSG00000025035"
"ENSMUSG00000042745",0,0.91171374673045,0.673,0.469,0,"cholangiocyte","ENSMUSG00000042745"
"ENSMUSG00000053886",0,0.908609702554487,0.521,0.021,0,"cholangiocyte","ENSMUSG00000053886"
"ENSMUSG00000001663",0,0.902827977773909,0.855,0.245,0,"cholangiocyte","ENSMUSG00000001663"
"ENSMUSG00000061718",0,0.902525788231609,0.496,0.016,0,"cholangiocyte","ENSMUSG00000061718"
"ENSMUSG00000020027",0,0.902191088198602,0.603,0.236,0,"cholangiocyte","ENSMUSG00000020027"
"ENSMUSG00000027375",0,0.901561857895723,0.454,0.003,0,"cholangiocyte","ENSMUSG00000027375"
"ENSMUSG00000005533",0,0.900657473659669,0.689,0.299,0,"cholangiocyte","ENSMUSG00000005533"
"ENSMUSG00000054702",0,0.898786637241034,0.976,0.785,0,"cholangiocyte","ENSMUSG00000054702"
"ENSMUSG00000022708",0,0.897337173922751,0.995,0.769,0,"cholangiocyte","ENSMUSG00000022708"
"ENSMUSG00000089715",0,0.896740523864834,0.72,0.239,0,"cholangiocyte","ENSMUSG00000089715"
"ENSMUSG00000075420",0,0.896288023500854,0.467,0.005,0,"cholangiocyte","ENSMUSG00000075420"
"ENSMUSG00000045319",0,0.895714515495666,0.561,0.045,0,"cholangiocyte","ENSMUSG00000045319"
"ENSMUSG00000022450",0,0.895678857628326,0.984,0.717,0,"cholangiocyte","ENSMUSG00000022450"
"ENSMUSG00000008668",0,0.895319878153255,0.999,0.898,0,"cholangiocyte","ENSMUSG00000008668"
"ENSMUSG00000040128",0,0.894818504741488,0.949,0.751,0,"cholangiocyte","ENSMUSG00000040128"
"ENSMUSG00000024346",0,0.893102855495109,0.869,0.497,0,"cholangiocyte","ENSMUSG00000024346"
"ENSMUSG00000016541",0,0.892641841339999,0.811,0.373,0,"cholangiocyte","ENSMUSG00000016541"
"ENSMUSG00000062210",0,0.890114500748647,0.808,0.322,0,"cholangiocyte","ENSMUSG00000062210"
"ENSMUSG00000101609",0,0.889724844159854,0.834,0.562,0,"cholangiocyte","ENSMUSG00000101609"
"ENSMUSG00000062300",0,0.889365770383813,0.777,0.356,0,"cholangiocyte","ENSMUSG00000062300"
